Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?b  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?a   => ?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b,0.99984907,0.99984907,0.99984907,33123,33128,33128,-1
?a  <http://purl.org/spar/cito/cites>  ?h  ?h  <https://makg.org/property/appearsInConferenceSeries>  ?b   => ?a  <https://makg.org/property/appearsInConferenceSeries>  ?b,0.634733037,0.683076463,0.68492123,4565,6683,6665,-1
?g  <http://purl.org/spar/cito/cites>  ?a  ?g  <https://makg.org/property/appearsInConferenceSeries>  ?b   => ?a  <https://makg.org/property/appearsInConferenceSeries>  ?b,0.437986652,0.404572309,0.424986508,3150,7786,7412,-1
?h  <http://purl.org/spar/cito/cites>  ?b  ?a  <http://purl.org/spar/cito/cites>  ?h   => ?a  <http://purl.org/spar/cito/cites>  ?b,0.196559198,0.129012181,0.129012181,1451,11247,11247,-1
?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?h  ?h  <http://www.w3.org/ns/org#memberOf>  ?b   => ?a  <http://www.w3.org/ns/org#memberOf>  ?b,0.908600444,0.37080689,0.479564489,5726,15442,11940,-1
?b  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?h  ?a  <http://purl.org/dc/terms/creator>  ?h   => ?a  <http://purl.org/dc/terms/creator>  ?b,1,0.230609418,0.231785089,12321,53428,53157,-2
?h  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b  ?a  <http://purl.org/dc/terms/creator>  ?h   => ?a  <http://purl.org/dc/terms/creator>  ?b,1,0.230631002,0.231802532,12321,53423,53153,-2
?g  <http://purl.org/spar/cito/cites>  ?a  ?g  <http://purl.org/spar/fabio/hasDiscipline>  ?b   => ?a  <http://purl.org/spar/fabio/hasDiscipline>  ?b,0.120049505,0.102670195,0.104597588,2134,20785,20402,-1
?a  <http://purl.org/spar/cito/cites>  ?h  ?h  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?b   => ?a  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?b,0.171678279,1,1,2809,2809,2809,-1
?g  <http://purl.org/spar/cito/cites>  ?a  ?g  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?b   => ?a  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?b,0.149126024,1,1,2440,2440,2440,-1
?a  <http://purl.org/spar/cito/cites>  ?h  ?h  <http://purl.org/spar/fabio/hasDiscipline>  ?b   => ?a  <http://purl.org/spar/fabio/hasDiscipline>  ?b,0.1430018,0.121139916,0.12311716,2542,20984,20647,-1
?g  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?a  ?g  <http://www.w3.org/ns/org#memberOf>  ?b   => ?a  <http://www.w3.org/ns/org#memberOf>  ?b,0.908600444,0.370878943,0.479644832,5726,15439,11938,-1
?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?h  ?h  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?b   => ?a  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?b,0.495844029,1,1,8113,8113,8113,-1
?g  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?a  ?g  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?b   => ?a  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?b,0.495844029,1,1,8113,8113,8113,-1
?h  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b  ?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?h   => ?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b,1,0.339530593,0.339530593,33128,97570,97570,-1
?h  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?a  ?b  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?h   => ?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b,1,0.339530593,0.339530593,33128,97570,97570,-1
?g  <http://purl.org/dc/terms/creator>  ?a  ?g  <http://purl.org/dc/terms/creator>  ?b   => ?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b,0.981375272,1,1,32511,32511,32511,-1
?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?h  ?b  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?h   => ?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b,1,0.339499278,0.339499278,33128,97579,97579,-1
?g  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?a  ?g  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b   => ?a  <http://lsdis.cs.uga.edu/projects/semdis/opus#coauthor>  ?b,1,0.339561915,0.339561915,33128,97561,97561,-1
